"Salesforce Customer ID","Installation End Date","Installation PL Closed","Installation Address - ZIP Code","Opportunity Battery Capacity kWh"
"C000657039","18.09.2023, 15:38","29.09.2023, 13:36","18442","10"
"C000716665","27.09.2023, 16:30","29.09.2023, 13:35","26506","15"
"C000707508","24.08.2023, 18:14","29.09.2023, 13:32","74906","5"
"C000777491","27.09.2023, 12:32","29.09.2023, 13:29","67822","5"
"C000704485","23.09.2023, 14:10","29.09.2023, 13:26","91413","10"
"C000743706","13.09.2023, 17:14","29.09.2023, 13:25","28832","5"
"C000867282","28.09.2023, 16:35","29.09.2023, 13:25","19061","10"
"C000684336","26.09.2023, 14:52","29.09.2023, 13:24","21435","5"
"C000717349","20.09.2023, 18:48","29.09.2023, 13:23","79848","10"
"C000838391","28.09.2023, 21:00","29.09.2023, 13:21","49324","5"
"C000621492","27.09.2023, 18:52","29.09.2023, 13:20","48317","10"
"C000786747","28.09.2023, 14:48","29.09.2023, 13:18","28279","5"
"C000741782","26.09.2023, 14:38","29.09.2023, 13:18","24211","10"
"C000662502","29.08.2023, 16:20","29.09.2023, 13:18","38159","10"
"C000799194","19.09.2023, 17:57","29.09.2023, 13:17","21258","10"
"C000598323","25.09.2023, 16:52","29.09.2023, 13:17","24220","10"
"C000810016","15.09.2023, 18:00","29.09.2023, 13:17","01561","10"
"C000738525","22.09.2023, 18:18","29.09.2023, 13:09","49565","5"
"C000672091","14.09.2023, 17:45","29.09.2023, 12:59","57610","10"
"C000580293","27.09.2023, 18:13","29.09.2023, 12:57","59174","10"
"C000637186","27.09.2023, 17:24","29.09.2023, 12:56","49740","10"
"C000677329","03.08.2023, 18:33","29.09.2023, 12:54","53560","10"
"C000740810","20.09.2023, 18:20","29.09.2023, 12:51","52076","10"
"C000711805","12.09.2023, 10:18","29.09.2023, 12:48","54689","15"
"C000711967","27.09.2023, 17:19","29.09.2023, 12:48","46562","10"
"C000854265","26.09.2023, 14:30","29.09.2023, 12:47","59494","10"
"C000786372","22.09.2023, 18:00","29.09.2023, 12:46","36151","10"
"C000717636","29.08.2023, 10:39","29.09.2023, 12:45","53809","10"
"C000768239","26.09.2023, 15:44","29.09.2023, 12:44","53859","10"
"C000439029","27.09.2023, 16:02","29.09.2023, 12:42","32805","5"
"C000663413","26.09.2023, 15:26","29.09.2023, 12:42","02694","10"
"C000686115","08.09.2023, 10:18","29.09.2023, 12:38","84419","10"
"C000662130","13.09.2023, 15:07","29.09.2023, 12:25","65232","5"
"C000722738","25.09.2023, 18:29","29.09.2023, 12:22","35094","15"
"C000754539","05.09.2023, 10:19","29.09.2023, 12:21","67699","10"
"C000744625","26.09.2023, 09:06","29.09.2023, 12:15","66265","10"
"C000783755","26.09.2023, 11:39","29.09.2023, 12:10","36269","10"
"C000290168","07.09.2023, 18:20","29.09.2023, 12:01","53179","10"
"C000815786","20.09.2023, 21:00","29.09.2023, 12:00","49545","10"
"C000788410","21.09.2023, 14:23","29.09.2023, 11:57","04838","10"
"C000585904","22.09.2023, 16:07","29.09.2023, 11:55","13055","10"
"C000816690","26.09.2023, 17:57","29.09.2023, 11:54","91735","10"
"C000791935","05.09.2023, 16:11","29.09.2023, 11:53","40880","0"
"C000274066","26.09.2023, 18:57","29.09.2023, 11:50","02829","5"
"C000573707","28.08.2023, 14:27","29.09.2023, 11:47","40764","10"
"C000746603","26.09.2023, 16:07","29.09.2023, 11:42","14167","5"
"C000754520","21.09.2023, 12:15","29.09.2023, 11:32","19374","0"
"C000059290","20.09.2023, 21:04","29.09.2023, 11:30","16278","10"
"C000712481","22.09.2023, 09:57","29.09.2023, 11:19","49681","10"
"C000696586","27.09.2023, 18:54","29.09.2023, 11:12","59872","10"
"C000557802","28.09.2023, 20:30","29.09.2023, 11:10","66802","10"
"C000729886","22.09.2023, 09:54","29.09.2023, 11:09","31863","10"
"C000746773","22.09.2023, 18:55","29.09.2023, 11:01","86842","10"
"C000797886","05.09.2023, 19:01","29.09.2023, 11:00","86415","10"
"C000537781","13.09.2023, 18:02","29.09.2023, 10:49","38350","10"
"C000704100","22.08.2023, 17:39","29.09.2023, 10:45","96179","10"
"C000784464","25.09.2023, 18:45","29.09.2023, 10:26","48291","10"
"C000783371","25.09.2023, 20:02","29.09.2023, 10:15","21629","10"
"C000587187","13.09.2023, 14:51","29.09.2023, 09:51","78244","10"
"C000779639","22.09.2023, 14:52","29.09.2023, 09:49","52372","10"
"C000678439","26.07.2023, 17:38","29.09.2023, 09:18","56651","10"
"C000767960","26.09.2023, 12:41","29.09.2023, 09:15","72290","10"
"C000856706","27.09.2023, 18:40","29.09.2023, 09:13","48619","10"
"C000786701","21.09.2023, 20:46","29.09.2023, 09:04","19057","10"
"C000753903","08.09.2023, 18:41","29.09.2023, 08:38","79312","10"
"C000677602","23.08.2023, 17:33","29.09.2023, 08:23","95179","10"
"C000718381","11.09.2023, 17:25","28.09.2023, 22:36","34537","10"
"C000857048","27.09.2023, 13:25","28.09.2023, 22:14","38470","10"
"C000784877","25.09.2023, 18:57","28.09.2023, 22:12","59872","10"
"C000828097","22.09.2023, 18:46","28.09.2023, 22:08","97633","5"
"C000756349","27.09.2023, 18:06","28.09.2023, 21:40","58730","5"
"C000605365","27.09.2023, 17:51","28.09.2023, 21:10","31737","10"
"C000697047","28.09.2023, 18:48","28.09.2023, 20:37","64753","10"
"C000705534","27.09.2023, 17:28","28.09.2023, 20:35","21218","10"
"C000785090","27.09.2023, 17:41","28.09.2023, 20:26","51429","10"
"C000735559","28.09.2023, 18:39","28.09.2023, 20:25","53819","10"
"C000609907","19.07.2023, 15:09","28.09.2023, 20:14","26954","10"
"C000597139","26.09.2023, 18:00","28.09.2023, 20:10","82319","10"
"C000675100","25.09.2023, 18:44","28.09.2023, 19:47","56479","10"
"C000796068","27.09.2023, 18:21","28.09.2023, 19:43","51503","5"
"C000720686","25.09.2023, 18:30","28.09.2023, 19:42","51702","5"
"C000655891","01.09.2023, 16:00","28.09.2023, 19:40","48282","10"
"C000696360","21.09.2023, 19:11","28.09.2023, 19:33","99098","10"
"C000832227","26.09.2023, 17:48","28.09.2023, 19:31","19372","10"
"C000821460","25.09.2023, 17:50","28.09.2023, 19:24","27798","10"
"C000110596","27.09.2023, 14:07","28.09.2023, 19:18","17039","10"
"C000767356","28.09.2023, 17:24","28.09.2023, 19:17","14712","10"
"C000686164","21.09.2023, 18:12","28.09.2023, 19:12","76297","10"
"C000654656","03.08.2023, 18:53","28.09.2023, 19:06","53332","5"
"C000773383","07.09.2023, 15:24","28.09.2023, 19:03","92720","10"
"C000750912","28.09.2023, 14:34","28.09.2023, 18:58","14089","10"
"C000414346","25.09.2023, 18:14","28.09.2023, 18:56","76684","10"
"C000824228","28.09.2023, 17:19","28.09.2023, 18:55","45768","10"
"C000796489","29.09.2023, 19:27","28.09.2023, 18:55","35325","10"
"C000541158","26.09.2023, 13:03","28.09.2023, 18:52","15754","10"
"C000675199","20.09.2023, 17:27","28.09.2023, 18:49","14624","10"
"C000700027","28.09.2023, 19:28","28.09.2023, 18:48","63263","10"
"C000540791","13.09.2023, 19:19","28.09.2023, 18:46","23730","10"
"C000678776","28.09.2023, 14:10","28.09.2023, 18:46","47475","10"
"C000722051","05.09.2023, 18:43","28.09.2023, 18:44","97497","10"
"C000808929","21.09.2023, 17:14","28.09.2023, 18:43","64319","10"
"C000169927","27.09.2023, 18:42","28.09.2023, 18:40","14778","10"
"C000794008","25.09.2023, 17:48","28.09.2023, 18:32","47495","10"
"C000858604","21.09.2023, 15:14","28.09.2023, 18:31","18184","10"
"C000789385","07.09.2023, 15:26","28.09.2023, 18:29","26789","10"
"C000656619","29.09.2023, 17:41","28.09.2023, 18:25","64832","5"
"C000862431","22.09.2023, 18:54","28.09.2023, 18:20","48167","10"
"C000409764","20.09.2023, 15:19","28.09.2023, 18:17","06686","10"
"C000679607","25.09.2023, 18:38","28.09.2023, 18:16","53909","10"
"C000098893","28.09.2023, 15:03","28.09.2023, 18:13","56651","16"
"C000734934","21.09.2023, 15:44","28.09.2023, 18:12","53119","15"
"C000632113","16.08.2023, 18:27","28.09.2023, 18:10","52355","10"
"C000573722","26.09.2023, 16:19","28.09.2023, 18:08","40882","10"
"C000697520","15.09.2023, 14:59","28.09.2023, 18:05","35096","10"
"C000715993","26.09.2023, 17:31","28.09.2023, 17:48","56321","10"
"C000450435","19.09.2023, 16:46","28.09.2023, 17:41","24616","10"
"C000735630","26.09.2023, 18:47","28.09.2023, 17:38","51709","10"
"C000763056","25.09.2023, 17:38","28.09.2023, 17:36","92665","10"
"C000788871","21.09.2023, 15:10","28.09.2023, 17:33","06766","10"
"C000753465","19.09.2023, 17:49","28.09.2023, 17:32","93049","5"
"C000798632","13.09.2023, 18:27","28.09.2023, 17:32","90518","5"
"C000834134","25.09.2023, 17:54","28.09.2023, 17:31","32427","10"
"C000773950","01.09.2023, 17:45","28.09.2023, 17:28","26817","10"
"C000837128","21.09.2023, 18:00","28.09.2023, 17:26","91586","10"
"C000180566","19.09.2023, 14:30","28.09.2023, 16:54","61184","15"
"C000695847","25.09.2023, 18:36","28.09.2023, 16:52","73329","10"
"C000796926","25.09.2023, 17:44","28.09.2023, 16:51","57462","10"
"C000734459","25.09.2023, 18:17","28.09.2023, 16:49","29410","10"
"C000415419","20.09.2023, 14:43","28.09.2023, 16:46","63150","10"
"C000270912","25.09.2023, 15:09","28.09.2023, 16:41","99094","16"
"C000769065","25.09.2023, 17:59","28.09.2023, 16:40","04539","10"
"C000678131","13.09.2023, 18:23","28.09.2023, 16:30","91732","10"
"C000746214","29.08.2023, 15:29","28.09.2023, 16:20","59073","10"
"C000266353","26.09.2023, 10:07","28.09.2023, 16:18","17509","10"
"C000808915","27.09.2023, 17:44","28.09.2023, 16:15","26160","10"
"C000741183","30.08.2023, 16:20","28.09.2023, 16:15","26506","10"
"C000631995","01.08.2023, 18:39","28.09.2023, 16:11","78658","10"
"C000698989","26.09.2023, 17:04","28.09.2023, 16:11","63579","0"
"C000649505","26.09.2023, 08:09","28.09.2023, 16:10","54497","10"
"C000821957","22.09.2023, 21:00","28.09.2023, 16:08","31162","10"
"C000657363","28.09.2023, 11:23","28.09.2023, 16:00","67580","10"
"C000784095","23.08.2023, 18:27","28.09.2023, 15:59","01619","5"
"C000059632","21.08.2023, 18:51","28.09.2023, 15:54","48720","10"
"C000731305","21.09.2023, 17:05","28.09.2023, 15:53","66693","5"
"C000745993","20.09.2023, 17:17","28.09.2023, 15:47","79227","10"
"C000360721","20.09.2023, 18:21","28.09.2023, 15:45","83543","5"
"C000694227","22.08.2023, 17:44","28.09.2023, 15:35","72461","5"
"C000828328","26.09.2023, 21:00","28.09.2023, 15:25","32351","10"
"C000573121","19.09.2023, 11:45","28.09.2023, 15:25","85072","15"
"C000813594","22.09.2023, 18:29","28.09.2023, 15:22","54441","10"
"C000687142","25.09.2023, 18:14","28.09.2023, 15:20","52146","10"
"C000071432","28.08.2023, 16:27","28.09.2023, 15:19","31167","10"
"C000742190","26.09.2023, 15:55","28.09.2023, 15:18","42553","10"
"C000808464","26.09.2023, 15:32","28.09.2023, 15:14","71263","10"
"C000804852","22.09.2023, 08:10","28.09.2023, 15:10","23968","16"
"C000557115","08.08.2023, 18:34","28.09.2023, 15:04","91080","10"
"C000756046","22.09.2023, 10:02","28.09.2023, 14:52","34549","10"
"C000709200","28.09.2023, 13:59","28.09.2023, 14:49","41066","10"
"C000063921","","28.09.2023, 14:47","68623","10"
"C000711180","27.09.2023, 14:41","28.09.2023, 14:46","34281","10"
"C000663525","25.09.2023, 19:11","28.09.2023, 14:43","35460","10"
"C000634260","26.09.2023, 18:00","28.09.2023, 14:43","58256","10"
"C000777398","19.09.2023, 17:57","28.09.2023, 14:42","48496","10"
"C000813823","25.09.2023, 17:52","28.09.2023, 14:41","42799","10"
"C000212866","26.09.2023, 15:16","28.09.2023, 14:40","04860","5"
"C000209922","27.09.2023, 16:41","28.09.2023, 14:40","45309","5"
"C000848493","26.09.2023, 11:07","28.09.2023, 14:39","41836","10"
"C000722122","05.09.2023, 17:37","28.09.2023, 14:39","39444","10"
"C000746972","27.09.2023, 19:01","28.09.2023, 14:38","51515","10"
"C000305877","25.09.2023, 14:04","28.09.2023, 14:37","39387","10"
"C000829939","25.09.2023, 14:30","28.09.2023, 14:37","53347","10"
"C000622931","25.09.2023, 14:54","28.09.2023, 14:36","06246","10"
"C000555638","09.08.2023, 20:00","28.09.2023, 14:35","73485","10"
"C000788326","27.09.2023, 22:29","28.09.2023, 14:29","47506","10"
"C000810426","27.09.2023, 18:11","28.09.2023, 14:18","74842","5"
"C000670151","29.08.2023, 15:05","28.09.2023, 14:15","71640","10"
"C000715923","28.08.2023, 18:16","28.09.2023, 13:59","73734","10"
"C000566259","21.09.2023, 19:00","28.09.2023, 13:36","21635","10"
"C000769194","25.09.2023, 16:59","28.09.2023, 13:34","25336","10"
"C000786582","07.09.2023, 18:00","28.09.2023, 13:33","18513","10"
"C000695339","25.09.2023, 17:35","28.09.2023, 13:32","55234","5"
"C000793271","25.09.2023, 17:22","28.09.2023, 13:31","22941","10"
"C000818381","26.09.2023, 10:01","28.09.2023, 13:28","23816","10"
"C000720372","19.09.2023, 18:44","28.09.2023, 13:23","23968","10"
"C000547353","26.09.2023, 19:30","28.09.2023, 13:21","26909","10"
"C000609225","25.09.2023, 18:59","28.09.2023, 13:20","27478","10"
"C000697201","25.09.2023, 16:55","28.09.2023, 13:11","49716","5"
"C000717823","11.08.2023, 17:54","28.09.2023, 13:10","68307","5"
"C000452827","13.03.2023, 19:00","28.09.2023, 13:09","59505","10"
"C000765059","12.09.2023, 18:00","28.09.2023, 13:03","57629","10"
"C000738538","25.09.2023, 18:04","28.09.2023, 12:56","54329","10"
"C000731555","25.09.2023, 17:22","28.09.2023, 12:32","38110","10"
"C000723435","21.09.2023, 11:30","28.09.2023, 12:32","66879","10"
"C000728293","26.09.2023, 10:42","28.09.2023, 12:29","97857","10"
"C000648274","25.09.2023, 15:21","28.09.2023, 12:21","48291","0"
"C000679663","20.09.2023, 15:28","28.09.2023, 12:21","67454","10"
"C000768927","21.09.2023, 19:05","28.09.2023, 12:09","78187","10"
"C000436409","27.09.2023, 16:50","28.09.2023, 12:00","79268","10"
"C000766455","13.09.2023, 17:34","28.09.2023, 11:56","96253","10"
"C000720838","25.08.2023, 18:45","28.09.2023, 11:24","26723","10"
"C000728039","04.09.2023, 14:41","28.09.2023, 11:19","31515","10"
"C000631341","09.08.2023, 15:30","28.09.2023, 11:16","49179","10"
"C000636372","26.09.2023, 15:34","28.09.2023, 11:13","04886","10"
"C000718424","14.09.2023, 16:16","28.09.2023, 10:18","61118","10"
"C000410801","06.09.2023, 18:43","28.09.2023, 10:16","78647","10"
"C000706015","08.09.2023, 14:33","28.09.2023, 10:06","59514","10"
"C000112801","28.09.2023, 16:57","28.09.2023, 09:48","12357","10"
"C000635729","25.08.2023, 19:00","28.09.2023, 09:26","33415","10"
"C000646478","09.08.2023, 15:00","28.09.2023, 09:08","25489","0"
"C000840440","26.09.2023, 18:28","28.09.2023, 09:07","14669","5"
"C000825427","20.09.2023, 21:00","28.09.2023, 08:58","38855","16"
"C000782321","13.09.2023, 16:27","28.09.2023, 08:50","72224","10"
"C000757865","11.09.2023, 19:56","28.09.2023, 08:46","93358","10"
"C000752227","05.09.2023, 12:48","28.09.2023, 08:45","86316","10"
"C000775813","20.09.2023, 16:47","28.09.2023, 08:15","85391","10"
"C000801242","19.09.2023, 18:30","28.09.2023, 08:07","09116","10"
"C000784165","18.09.2023, 18:30","27.09.2023, 22:31","29308","10"
"C000826656","20.09.2023, 14:44","27.09.2023, 21:03","83253","10"
"C000691695","28.08.2023, 14:49","27.09.2023, 20:43","67067","10"
"C000279942","22.08.2023, 11:01","27.09.2023, 20:40","68753","10"
"C000710494","29.08.2023, 15:11","27.09.2023, 20:34","67487","5"
"C000808640","26.09.2023, 16:42","27.09.2023, 20:32","59939","10"
"C000841594","21.09.2023, 15:11","27.09.2023, 20:27","27356","5"
"C000804113","20.09.2023, 18:04","27.09.2023, 20:27","63633","10"
"C000818287","26.09.2023, 15:18","27.09.2023, 20:27","19395","10"
"C000823651","26.09.2023, 11:00","27.09.2023, 20:26","21785","5"
"C000806718","25.09.2023, 16:50","27.09.2023, 20:25","19288","10"
"C000781744","18.09.2023, 17:50","27.09.2023, 20:25","23623","5"
"C000802359","21.09.2023, 17:02","27.09.2023, 20:24","23730","10"
"C000191378","15.09.2023, 18:15","27.09.2023, 20:23","24568","10"
"C000741942","13.09.2023, 17:49","27.09.2023, 20:21","27389","10"
"C000679145","20.09.2023, 12:00","27.09.2023, 20:20","17498","10"
"C000701366","27.09.2023, 15:04","27.09.2023, 20:19","25361","10"
"C000773176","19.09.2023, 21:00","27.09.2023, 20:19","44805","5"
"C000679291","02.08.2023, 19:00","27.09.2023, 20:18","24223","10"
"C000490829","15.03.2023, 18:48","27.09.2023, 20:16","32425","10"
"C000782366","26.09.2023, 14:44","27.09.2023, 20:15","37124","10"
"C000698840","20.09.2023, 18:00","27.09.2023, 20:14","49661","10"
"C000722466","25.09.2023, 17:31","27.09.2023, 20:13","36304","10"
"C000838070","19.09.2023, 21:00","27.09.2023, 20:13","38268","10"
"C000710990","19.09.2023, 18:28","27.09.2023, 20:10","79426","10"
"C000698698","21.09.2023, 18:00","27.09.2023, 20:07","37688","10"
"C000635939","30.08.2023, 18:13","27.09.2023, 20:04","94469","10"
"C000367063","13.09.2023, 19:40","27.09.2023, 19:51","96450","15"
"C000720165","27.09.2023, 18:34","27.09.2023, 19:44","55767","10"
"C000835348","29.09.2023, 18:03","27.09.2023, 19:28","35781","5"
"C000815297","27.09.2023, 12:40","27.09.2023, 19:24","46569","10"
"C000716019","28.08.2023, 18:16","27.09.2023, 19:18","66497","10"
"C000866002","25.09.2023, 19:00","27.09.2023, 19:17","56305","10"
"C000792894","20.09.2023, 18:23","27.09.2023, 19:15","03051","15"
"C000744355","26.09.2023, 18:25","27.09.2023, 19:14","74889","5"
"C000661190","22.08.2023, 18:25","27.09.2023, 19:13","53359","10"
"C000726161","01.01.2023, 14:55","27.09.2023, 19:11","41844","10"
"C000729784","13.09.2023, 17:34","27.09.2023, 19:10","56459","10"
"C000716837","27.09.2023, 18:27","27.09.2023, 19:09","66903","10"
"C000716650","18.09.2023, 19:26","27.09.2023, 19:08","56271","10"
"C000795773","26.09.2023, 18:42","27.09.2023, 19:07","52525","10"
"C000779256","11.09.2023, 18:19","27.09.2023, 19:06","50181","5"
"C000770734","22.09.2023, 16:24","27.09.2023, 19:04","51399","5"
"C000756966","20.09.2023, 16:13","27.09.2023, 19:03","42929","10"
"C000725465","24.08.2023, 14:20","27.09.2023, 18:58","59846","10"
"C000790410","26.09.2023, 12:52","27.09.2023, 18:56","59469","10"
"C000811285","25.09.2023, 15:00","27.09.2023, 18:54","52538","10"
"C000446168","25.09.2023, 18:51","27.09.2023, 18:53","41539","0"
"C000683722","21.09.2023, 17:42","27.09.2023, 18:51","52525","10"
"C000780401","14.09.2023, 13:30","27.09.2023, 18:48","46446","10"
"C000679491","06.09.2023, 17:13","27.09.2023, 18:47","75378","10"
"C000709139","21.09.2023, 17:35","27.09.2023, 18:45","47574","0"
"C000621391","25.09.2023, 19:22","27.09.2023, 18:40","35745","0"
"C000805282","25.09.2023, 18:33","27.09.2023, 18:38","70794","10"
"C000473502","08.05.2023, 18:30","27.09.2023, 18:37","59227","10"
"C000683192","20.09.2023, 18:43","27.09.2023, 18:25","66557","10"
"C000729107","21.09.2023, 12:42","27.09.2023, 18:23","79725","10"
"C000592962","02.08.2023, 17:31","27.09.2023, 18:07","64397","10"
"C000702984","28.09.2023, 19:00","27.09.2023, 17:56","61381","10"
"C000803246","19.09.2023, 12:56","27.09.2023, 17:47","39397","10"
"C000700872","21.09.2023, 17:34","27.09.2023, 17:36","67434","5"
"C000588018","28.09.2023, 18:32","27.09.2023, 17:36","69190","10"
"C000241033","27.09.2023, 18:01","27.09.2023, 17:35","63549","10"
"C000708275","07.09.2023, 18:22","27.09.2023, 17:34","53925","10"
"C000610524","11.08.2023, 18:27","27.09.2023, 17:23","16515","10"
"C000589043","19.09.2023, 17:53","27.09.2023, 17:16","54309","10"
"C000754306","21.09.2023, 18:18","27.09.2023, 17:10","72475","10"
"C000672162","21.08.2023, 13:02","27.09.2023, 17:07","44309","5"
"C000821855","22.09.2023, 16:15","27.09.2023, 16:47","64846","10"
"C000241756","12.09.2023, 17:02","27.09.2023, 16:47","35274","10"
"C000725396","12.09.2023, 19:40","27.09.2023, 16:40","96215","10"
"C000662165","11.09.2023, 17:26","27.09.2023, 16:33","86551","10"
"C000658925","29.09.2023, 15:05","27.09.2023, 16:32","63863","10"
"C000774089","18.09.2023, 18:59","27.09.2023, 16:30","72584","16"
"C000738534","25.09.2023, 15:45","27.09.2023, 16:25","63674","5"
"C000591698","28.08.2023, 17:32","27.09.2023, 16:18","86872","10"
"C000823921","08.09.2023, 13:55","27.09.2023, 16:17","79346","10"
"C000686912","22.09.2023, 15:24","27.09.2023, 16:17","09114","10"
"C000433014","25.09.2023, 17:06","27.09.2023, 16:16","31535","5"
"C000695538","04.09.2023, 17:34","27.09.2023, 16:00","37284","10"
"C000817082","21.09.2023, 17:51","27.09.2023, 15:59","23815","10"
"C000694762","15.09.2023, 15:19","27.09.2023, 15:58","26345","10"
"C000085735","09.08.2023, 16:38","27.09.2023, 15:57","26892","10"
"C000804428","26.09.2023, 11:38","27.09.2023, 15:49","56814","10"
"C000790796","21.09.2023, 18:00","27.09.2023, 15:49","99831","16"
"C000766117","14.09.2023, 18:00","27.09.2023, 15:48","51143","10"
"C000675846","08.09.2023, 10:22","27.09.2023, 15:48","58640","5"
"C000813035","18.09.2023, 16:52","27.09.2023, 15:47","31188","10"
"C000721275","25.09.2023, 16:17","27.09.2023, 15:46","50389","10"
"C000626165","29.08.2023, 13:36","27.09.2023, 15:46","57290","10"
"C000413665","26.09.2023, 18:58","27.09.2023, 15:45","58809","10"
"C000807896","27.09.2023, 16:25","27.09.2023, 15:40","61279","10"
"C000765479","22.09.2023, 15:45","27.09.2023, 15:39","72406","16"
"C000675641","19.09.2023, 12:29","27.09.2023, 15:38","79798","10"
"C000707868","20.09.2023, 14:53","27.09.2023, 15:21","91083","10"
"C000737674","28.08.2023, 19:05","27.09.2023, 15:21","44625","15"
"C000833130","06.09.2023, 16:47","27.09.2023, 15:20","32049","10"
"C000679539","31.08.2023, 18:09","27.09.2023, 15:14","87647","10"
"C000767453","21.09.2023, 18:14","27.09.2023, 15:08","93161","10"
"C000696503","11.09.2023, 17:46","27.09.2023, 15:07","66578","10"
"C000771700","19.09.2023, 14:31","27.09.2023, 15:05","97264","10"
"C000821680","25.09.2023, 18:46","27.09.2023, 15:04","39638","10"
